informasjonstype,navn,ingress,beskrivelse,kontekstavhengig_beskrivelse,normeringsniva,eif_niva,status,samhandlingstjenester,ansvarlig,dokumenttype,referanse_lenketekst,referanse_url
"Krav og prinsipper ","EU-guidelines on patient summary",,"Generelle retningslinjer fra EU om patient summary. Disse vil etter hvert komme som krav gjennom EHDS-forordningen. Disse retningslinjene legger grunnlaget for obligatoriske utvekslingsformater som er under utarbeidelse i EU. EU-guidelines tas hensyn til i arbeidet med nasjonale informasjonsmodeller for kritisk informasjon.",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","EU-kommisjonen",,"EU-guidelines on patient summary (PDF) (health.ec.europa.eu)","https://health.ec.europa.eu/document/download/e020f311-c35b-45ae-ba3d-03212b57fa65_en?filename=ehn_guidelines_patientsummary_en.pdf"
"Krav og prinsipper ","ePrescription and eDispensation of Authorised Medicinal Products",,"Spesifikasjon av utvekslingsformat og informasjonselementene
fra EU om digital forskrivning og utlevering legemidler. Dette vil etter hvert komme som krav gjennom EHDS-forordningen. Dette tas hensyn til i arbeidet med nasjonale informasjonsmodeller for pasientens legemiddelliste.",,,"Organisatorisk, Semantisk, Teknisk","Eksisterer","Pasientens legemiddelliste","EU-kommisjonen",,"ePrescription and eDispensation of Authorised Medicinal Products (PDF) (ec.europa.eu)","https://health.ec.europa.eu/document/download/b744f30b-a05e-4b9c-9630-ad96ebd0b2f0_en?filename=ehn_guidelines_eprescriptions_en.pdf"
"Krav og prinsipper ","EU-guidelines on laboratory results",,"Generelle retningslinjer fra EU om laboratoriesvar. Disse vil etter hvert komme som krav gjennom EHDS-forordningen. Disse retningslinjene legger grunnlaget for obligatoriske utvekslingsformater som er under utarbeidelse i EU.",,,"Semantisk","Eksisterer","Pasientens prøvesvar","EU-kommisjonen",,"EU-guidelines on laboratory results (health.ec.europa.eu)","https://health.ec.europa.eu/publications/ehn-laboratory-result-guidelines_en"
"Krav og prinsipper ","Rundskriv til legemiddelhåndteringsforskriften (IS-7/2015)",,"Rundskrivet inneholder en mer detaljert beskrivelse av hvordan forskriften skal forstås, samt en veiledning som gir råd og praktiske eksempler for å kunne opprettholde gode rutiner og sikre kvalitet i legemiddelhåndteringen.",,,"Organisatorisk","Eksisterer","Pasientens legemiddelliste","Helsedirektoratet",,"Rundskriv til legemiddelhåndteringsforskriften (IS-7/2015) (PDF) (hdir.no)","https://www.helsedirektoratet.no/rundskriv/legemiddelhandteringsforskriften-med-kommentarer/Legemiddelh%C3%A5ndteringsforskriften%20med%20kommentarer%20(rev)%20%E2%80%93%20Rundskriv.pdf/_/attachment/inline/506142af-6a2f-407f-8f3d-b87d3adc3cd5:81191d21a0a9e3131cb80deff61f723499f3f65c/Legemiddelh%C3%A5ndteringsforskriften%20med%20kommentarer%20(rev)%20%E2%80%93%20Rundskriv.pdf"
"Krav og prinsipper ","Implementeringsveiledning FEST",,"Implementeringsveiledningen er Direktoratet for medisinske produkter sin dokumentasjon av meldingen for forskrivnings- og ekspedisjonsstøtte (FEST).",,,"Semantisk","Eksisterer","Pasientens legemiddelliste","Direktoratet for medisinske produkter",,"Implementeringsveiledning FEST (dmp.no)","https://www.dmp.no/om-oss/distribusjon-av-legemiddeldata/fest/hvordan-bruke-fest#Implementeringsveiledning-FEST-1"
"Krav og prinsipper ","Krav til utleverere av medikamenter",,"Kravdokumentene beskriver funksjonalitet knyttet til e-reseptmeldinger som benyttes i kommunikasjon mellom utleverersystemer og Reseptformidleren, samt meldinger som benyttes i oppgjørsløsningen mot Helfo.",,,"Teknisk","Eksisterer","Pasientens legemiddelliste","Norsk helsenett (NHN)",,"Krav til utleverere av medikamenter (nhn.no)","https://e-resept.atlassian.net/wiki/spaces/ERDOK/pages/953685209/Krav+til+utleverere"
"Krav og prinsipper ","Rekvirentspesifikasjon for e-resept",,"Funksjonelle spesifikasjoner for legemiddelmoduler som skal samhandle med e-resept. Spesielt relevant for de som skal utvikle egen funksjonalitet for PLL.",,,"Organisatorisk","Eksisterer","Pasientens legemiddelliste","Norsk helsenett (NHN)",,"Rekvirentspesifikasjon for e-resept (nhn.no)","https://e-resept.atlassian.net/wiki/spaces/ERDOK/pages/2313421608/Rekvirentspesifikasjon+for+e-resept"
"Arbeidsprosess ","Gjøre oppslag i tidligere journalopplysninger",,"Informasjonstjenesten gir helsepersonell muligheten til å grave seg dypere ned i innbyggerens sykdoms- og undersøkelseshistorikk fra tidligere besøk i helsetjenesten. Eks. hvis fastende langtidsblodsukker blir målt kan helsepersonell gå inn å journalen og få resultater fra tidligere tester som dagens resultater kan sammenlignes med. ",,,"Organisatorisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet",,,
"Arbeidsprosess ","Skaffe seg oversikt over innbyggers tilstand og behov for helsehjelp",,"Informasjonstjenestene i denne kategorien benytter helsearbeiderne til å få oversikt over hvem innbyggeren er og kritisk informasjon om innbyggerens helse. Eks. på
dette er å få oversikt over evt. legemiddelallergier. ",,,"Organisatorisk","Eksisterer","Pasientens kritiske informasjon","Helsedirektoratet",,,
"Kodeverk og terminologi ","Underkategorier av kritisk informasjon ",,"Viser en oversikt over de ulike underkategoriene av kritisk informasjon.
",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Underkategorier av kritisk informasjon (OID=7651) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7651"
"Kodeverk og terminologi ","Koder for tilgangsbegrensninger i behandlingsrettede helseregistre",,"Kodeverket benyttes for å angi tilgangsbegrensninger i behandlingsrettede helseregistre, herunder EPJ-systemer og nasjonale e-helseløsninger.",,,"Semantisk","Eksisterer","Pasientens journaldokumenter, Pasientens prøvesvar","Helsedirektoratet",,"Koder for tilgangsbegrensninger i behandlingsrettede helseregistre (OID=9603) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/9603"
"Kodeverk og terminologi ","Smittetype som kritisk informasjon ",,"Angir hvilken type smitte som kan registreres som kritisk informasjon i kjernejournal. Registrering og utveksling av kritisk informasjon i kjernejournal.",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Smittetype som kritisk informasjon (OID=7519) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7519"
"Kodeverk og terminologi ","Metode for utlevering av vare (7404)",,"Beskriver metode for ekspedering av varer fra utleverer (apotek eller bandagist).",,,"Semantisk","Eksisterer","Pasientens legemiddelliste","Helsedirektoratet",,"Metode for utlevering av vare (7404) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7404"
"Kodeverk og terminologi ","Status søknad SLV (7436)",,,,,"Semantisk","Eksisterer","Pasientens legemiddelliste","Helsedirektoratet",,"Status søknad SLV (7436) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7436"
"Kodeverk og terminologi ","Kodeverk for dokumenttyper",,"Kodeverk som beskriver hvilke dokumenttyper som kan deles gjennom dokumentdelingsløsningen.",,,"Semantisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet",,"Dokumenttyper (OID=9602) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/9602"
"Kodeverk og terminologi ","Intubasjonsproblem som kritisk informasjon",,"Gradering av anatomisk tilgjengelighet ved intubasjon iht Cormack & Lehane. Registrering og utveksling av kritisk informasjon i kjernejournal.
",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Intubasjonsproblem som kritisk informasjon (OID=7515) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7515"
"Kodeverk og terminologi ","Mulighet for maskeventilasjon",,"Angir om det var problemer med ventilasjon på maske registert som komplikasjon under anestesi i kjernejournal. Registrering og utveksling av kritisk informasjon i kjernejournal
",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Mulighet for maskeventilasjon (OID=7516) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7516"
"Kodeverk og terminologi ","Pågående behandling som kritisk informasjon ",,"Angir pågående viktig behandling registert som kritisk informasjon. Gjelder behandling som normalt ikke kan utledes av pasientens forskrevne resepter. Registrering og utveksling av kritisk informasjon i kjernejournal.",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Pågående behandling som kritisk informasjon (OID=7517) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7517"
"Kodeverk og terminologi ","Enhet for pakning (7452)",,"Enhet til bruk i pakningsstørrelse og nevner for styrke som pakningsstørrelse beregnes i forhold til.",,,"Semantisk","Eksisterer","Pasientens legemiddelliste","Direktoratet for medisinske produkter",,"Enhet for pakning (7452) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7452"
"Kodeverk og terminologi ","Reaksjonstyper (7497)",,"Kodeverket inneholder reaksjonstyper for legemiddelallergi",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon, Pasientens legemiddelliste","Helsedirektoratet",,"Reaksjonstyper (7497) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7497"
"Kodeverk og terminologi ","Produktgruppe (7403)",,"Kodeverk for medisinsk forbruksmateriell og dietetiske næringsmidler som kan forskrives på blå resept, og for brystproteser som refunderes etter folketrygdloven § 10-7i.",,,"Semantisk","Eksisterer","Pasientens legemiddelliste","Helfo",,"Produktgruppe (7403) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7403"
"Kodeverk og terminologi ","Status resept (7408)",,,,,"Semantisk","Eksisterer","Pasientens legemiddelliste","Helsedirektoratet",,"Status resept (7408) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7408"
"Kodeverk og terminologi ","Prosedyreendringer som kritisk informasjon ",,"Endringer i behandlingsprosedyrer registrert som kritisk informasjon. Gjelder andre prosedyreendringer enn avgrensning av livsforlengende behandling. Registrering og utveksling av kritisk informasjon i kjernejournal",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Prosedyreendringer som kritisk informasjon (OID=7522) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7522"
"Kodeverk og terminologi ","Implantater som kritisk informasjon",,"Angir type implantat registert som kritisk informasjon. Registrering og utveksling av kritisk informasjon i kjernejournal.",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Implantater som kritisk informasjon (OID=7518) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7518"
"Kodeverk og terminologi ","Alvorlighetsgrad ",,"Angir alvorlighetsgrad ved registrering av overfølsomhetsreaksjon i kjernejournal. Registrering og utveksling av kritisk informasjon i kjernejournal.",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Alvorlighetsgrad (OID=7520) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7520"
"Kodeverk og terminologi ","Svar på oppføring i LIB (7493)",,"Strukturert svar knytte til kommentarer som er gitt på oppføringer i Legemidler i bruk (LIB). Benyttes for å angi strukturet svar i Legemidler i bruk (LIB",,,"Semantisk","Eksisterer","Pasientens legemiddelliste","Helsedirektoratet",,"Svar på oppføring i LIB (7493) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7493"
"Kodeverk og terminologi ","Kilde til opplysninger",,"Kodeverket inneholder alternativer for å oppgi hvor opplysninger for en allergisk reaksjon kommer fra",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","Helsedirektoratet",,"Kilde til opplysninger (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7498"
"Kodeverk og terminologi ","TypeResept (7491)",,,,,"Semantisk","Eksisterer","Pasientens legemiddelliste","Helsedirektoratet",,"TypeResept (7491) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7491"
"Kodeverk og terminologi ","Kommentar til oppføring i LIB (7495)",,"Struktuert kommentar til en oppføring i Legemidler i bruk (LIB) (M25)",,,"Semantisk","Eksisterer","Pasientens legemiddelliste","Helsedirektoratet",,"Kommentar til oppføring i LIB (7495) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7495"
"Kodeverk og terminologi ","Nasjonalt register over enheter i spesialisthelsetjenesten (RESH) (3512)",,"Oversikt over alle organisatoriske enheter innen spesialisthelsetjenesten.",,,"Semantisk","Eksisterer","Pasientens legemiddelliste","Helsedirektoratet",,"Nasjonalt register over enheter i spesialisthelsetjenesten (RESH) (3512) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/3512"
"Kodeverk og terminologi ","Kilde til opplysninger (7498)",,"Kodeverket inneholder alternativer for å oppgi hvor opplysninger for en allergisk reaksjon kommer fra.",,,"Semantisk","Eksisterer","Pasientens legemiddelliste","Norsk helsenett (NHN)",,"Kilde til opplysninger (7498) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7498"
"Kodeverk og terminologi ","Kritisk medisinsk tilstand - begrunnelse",,"Angir begrunnelse for hvorfor en tilstand bør ansees som kritisk og registreres i kjernejournal.
",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Kritisk medisinsk tilstand - begrunnelse (OID=7513) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7513"
"Kodeverk og terminologi ","Årsak til seponering (7494)",,,,,"Semantisk","Eksisterer","Pasientens legemiddelliste","Norsk helsenett (NHN)",,"Årsak til seponering (7494) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7494"
"Kodeverk og terminologi ","Hjemmel for refusjon med medisinsk begrunnelse - ny forskrift (7427)",,"Lovgrunnlag for refusjon.",,,"Semantisk","Eksisterer","Pasientens legemiddelliste","Helsedirektoratet",,"Hjemmel for refusjon med medisinsk begrunnelse - ny forskrift (7427) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7427"
"Kodeverk og terminologi ","Annen allergi som kritisk informasjon ",,"Angir annet allergen enn legemidler som årsak til alvorlig allergisk reaksjon registrert som kritisk informasjon.
",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Annen allergi som kritisk informasjon (OID=7514) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7514"
"Kodeverk og terminologi ","Bekreftelse",,"Angir om en registrering av kritisk informasjon er verifisert eller avkreftet. Registrering og utveksling av kritisk informasjon i kjernejournal.",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Bekreftelse (OID=7524) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7524"
"Kodeverk og terminologi ","Sannsynlighet",,"Angir hvor sannsynlig det er at oppgitt allergen er årsaken til den registerte reaksjonen. Benyttes ved registrering av overfølsomhetsreaksjoner i kjernejournal. Registrering og utveksling av kritisk informasjon i kjernejournal.",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Sannsynlighet (OID 7521) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7521"
"Kodeverk og terminologi ","Helsepersonellregisterets (HPR) klassifikasjon av spesialiteter (7426)",,"Dette kodeverket inneholder koder for spesialiteter i Helsepersonellregisteret. Kilde: Forskrift om spesialistgodkjenning av helsepersonell og turnusstillinger for leger.",,,"Semantisk","Eksisterer","Pasientens legemiddelliste","Helsedirektoratet",,"Helsepersonellregisterets (HPR) klassifikasjon av spesialiteter (7426) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7426"
"Kodeverk og terminologi ","Ja, nei (1101)",,"Dette kodeverket inneholder koder for å angi svar Ja eller Nei.",,,"Semantisk","Eksisterer","Pasientens legemiddelliste","Helsedirektoratet",,"Ja, nei (1101) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/1101"
"Kodeverk og terminologi ","Rolle i forhold til pasient (7490)",,"Oppgir hvilken rolle en organisasjon eller helseperson har i forhold til en pasient.",,,"Semantisk","Eksisterer","Pasientens legemiddelliste","Helsedirektoratet",,"Rolle i forhold til pasient (7490) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7490"
"Teknisk grensesnitt ","API for kritisk informasjon i kjernejournal",,"API i kjernejournal gjør det mulig å integrere kliniske fagsystem med kjernejournal og unngå duplisering av kritisk informasjon.",,,"Teknisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Kritisk informasjon-API (Alert information) (nhn.no)","https://kjernejournal.atlassian.net/wiki/spaces/KJERNEJOURDOK1/pages/836796547/Kritisk+informasjon-API+Alert+information"
"Teknisk grensesnitt ","Integrating the Healthcare Enterprise - Mobile access to Health Documents (IHE MHD)",,"Mobile access to Health Documents (MHD) definerer FHIR-basert standardisert grensesnitt for å dele dokumenter og format-uavhengige metadata, som opprinnelig er definert i XDS.",,,"Teknisk","Eksisterer","Pasientens journaldokumenter","Integrating the Healthcare Enterprise (IHE)",,"Mobile access to Health Documents (MHD) (ihe.net)","https://profiles.ihe.net/ITI/TF/Volume1/ch-33.html"
"Teknisk grensesnitt ","Integrating the Healthcare Enterprise - Cross-enterprise User Assertion (IHE XUA)",,"XUA er en profil for håndtering av autentisering på tvers av samarbeidsområder. Beskriver sikkerhetsbilletten, som gjelder både innenfor og på tvers av samarbeidsområder.",,,"Teknisk","Eksisterer","Pasientens journaldokumenter","Integrating the Healthcare Enterprise (IHE)",,"Cross Enterprise User Assertion (XUA) (ihe.net)","https://profiles.ihe.net/ITI/TF/Volume1/ch-13.html"
"Teknisk grensesnitt ","Integrating the Healthcare Enterprise - Cross Community Access (IHE XCA)",,"Når det tillates flere samarbeidsområder, vil profilen XCA kreves for å kunne søke og få tilgang til dokumenter på tvers av samarbeidsområdene.",,,"Teknisk","Eksisterer","Pasientens journaldokumenter","Integrating the Healthcare Enterprise (IHE)",,"Cross-Community Access (XCA) (ihe.net)","https://profiles.ihe.net/ITI/TF/Volume1/ch-18.html"
"Samhandlingskomponent ","Interaksjonsvarslingstjeneste",,"Formålet med interaksjonsdata er å avverge legemiddelrelaterte problemer som skyldes legemiddelinteraksjoner, for eksempel bivirkninger og manglende effekt. Direktoratet for medisinske produkter har laget et søkeverktøy med uheldige kombinasjoner av legemidler for mennesker. ",,,"Teknisk",,"Pasientens legemiddelliste","Direktoratet for medisinske produkter",,"Interaksjonssøk (legemiddelsok.no)","https://www.legemiddelsok.no/sider/Interaksjoner.aspx"
"Informasjonsmodell ","Informasjonsmodell SFM-fullversjon",,"Implementasjonsveileder for sentral forskrivningsmodul. ",,,"Semantisk",,"Pasientens legemiddelliste","Norsk helsenett (NHN)",,"SFM Fullversjon (nhn.no)","https://simplifier.net/guide/sfmapidatadeling?version=current"
"Forskrift ","Reseptformidlerforskriften",,"Forskriften er hjemlet i pasientjournalloven § 12, som gir behandlingsgrunnlaget for Reseptformidleren. Forskiften gir nærmere bestemmelser om behandling av helseopplysninger i Reseptformidleren. Formålet med reseptformidleren er å sørge for sikker og effektiv formidling av resepter og reseptopplysninger mellom aktører med tjenstlig behov, samt overføring av informasjon til kjernejournal. Hvilke opplysninger som kan behandles i Reseptformidleren følger av reseptformidlerforskriften § 1-7.","Pasientens legemiddelliste: Pasientens legemiddelliste, som er en samlet og oppdatert oversikt over relevante opplysninger om pasientens legemiddelbehandling, kan behandles i Reseptformidleren.",,"Juridisk","Eksisterer","Pasientens kritiske informasjon, Pasientens legemiddelliste","Helse- og omsorgsdepartementet",,"Forskrift om behandling av helseopplysninger i nasjonal database for elektroniske resepter (Reseptformidlerforskriften) (lovdata.no)","https://lovdata.no/dokument/SF/forskrift/2007-12-21-1610"
"Informasjonsmodell ","Informasjonsmodell SFM-Basis API",,"Implementasjonsveileder for FHIR-API i sentral forskrivningsmodul. ",,,"Semantisk",,"Pasientens legemiddelliste","Norsk helsenett (NHN)",,"SFM Basis API (nhn.no)","https://simplifier.net/guide/sfmapibasis?version=current"
"Samhandlingskomponent ","Reseptformidleren og e-resept",,"Reseptformidleren har en sentral i formidlingen av informasjon mellom aktørene i e-resept verdikjeden. Reseprformidleren er en database og meldingsformidler for alle aktive resepter og pasientens legemiddelliste med tilhørende meldinger. Denne siden linker videre til e-resept dokumentasjonen. ",,,"Teknisk","Eksisterer","Pasientens legemiddelliste","Norsk helsenett (NHN)",,"Reseptformidleren og e-resept (nhn.no)","https://utviklerportal.nhn.no/informasjonstjenester/reseptformidleren-og-e-resept/"
"Kodeverk og terminologi ","FEST - Forskrivnings- og ekspedisjonsstøtte",,"FEST er et datagrunnlag som gir lege, apotek og bandasjist oppdatert informasjon om alt du kan få på resept i Norge. Det beriker elektroniske kurveløsninger og legger grunnlag for pasientrettet legemiddelinformasjon.

",,,,"Eksisterer","Pasientens kritiske informasjon, Pasientens legemiddelliste","Legemiddelverket",,"FEST - Forskrivnings- og ekspedisjonsstøtte (dmp.no)","https://www.dmp.no/om-oss/distribusjon-av-legemiddeldata/fest"
"Nasjonal e-helseløsning ","E-resept",,"E-resept er en løsning for sikker overføring av reseptinformasjon. Løsningen består av et sett ulike meldinger og systemer som håndterer sikker rekvirering og utlevering til pasient.",,,"Organisatorisk","Eksisterer","Pasientens kritiske informasjon, Pasientens legemiddelliste","Norsk helsenett (NHN)",,"Om e-resept (nhn.no)","https://www.nhn.no/tjenester/e-resept/om-e-resept"
"Forskrift ","Pasientjournalforskriften",,"Pasientjournalforskriften er hjemlet i pasientjournalloven, og utfyller blant annet pasientjournallovens krav til informasjonssikkerhet. Forskriften setter blant annet spesifikke krav til tilgangsstyring og logging.","Pasientens legemiddelliste: Vedtatte bestemmelser om pasientens legemiddelliste i pasientjournalforskriften § 6 bokstav e tredje punktum og § 9 er ikke tredd i kraft. De trer i kraft fra det tidspunktet departementet bestemmer.",,"Juridisk","Eksisterer","Pasientens journaldokumenter, Pasientens legemiddelliste, Pasientens måledata","Helse- og omsorgsdepartementet",,"Forskrift om pasientjournal (pasientjournalforskriften) (lovdata.no)","https://lovdata.no/dokument/SF/forskrift/2019-03-01-168?q=Pasientjournalforskriften"
"Lov ","Pasient- og brukerrettighetsloven",,"Både personopplysningsloven (personvernforordningen), pasientjournalloven og tildels pasient- og brukerrettighetsloven regulerer behandling av person- og helseopplysninger.

Pasient- og brukerrettighetsloven fastsetter rettigheter pasienten har overfor helse- og omsorgstjenesten, herunder rett til innsyn i journal og rett til å motsette seg deling av journalopplysninger",,,"Juridisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste, Pasientens måledata","Helse- og omsorgsdepartementet",,"Lov om pasient- og brukerrettigheter (pasient- og brukerrettighetsloven) (lovdata.no)","https://lovdata.no/dokument/NL/lov/1999-07-02-63?q=Pasient-%20og%20brukerrettighetsloven"
"Forskrift ","Forskrift om standarder og nasjonale e-helseløsninger",,"Forskriften er hjemlet i pasientjournalloven §§ 7, 8, 12 og 13. Forskriften gir blant annet nærmere bestemmelser om plikt til bruk, betaling og tilgjengeliggjøring av nasjonale e-helseløsninger samt nærmere bestemmelser om krav til elektronisk behandling av helseopplysninger og standarder.","Pasientens legemiddelliste: Forskriften gir krav til funksjonalitet ved meldingsutvekslinger for resepter og reseptopplysninger.",,"Juridisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste, Pasientens måledata","Helse- og omsorgsdepartementet",,"Forskrift om standarder og nasjonale e-helseløsninger (lovdata.no)","https://lovdata.no/dokument/SF/forskrift/2015-07-01-853?q=Forskrift%20om%20standarder%20og%20nasjonale"
"Krav og prinsipper ","Bruk av standardene Rekvirering av medisinske tjenester og Svarrapportering av medisinske tjenester",,"Dette dokumentet beskriver bruk av standardene for Rekvirering av medisinske tjenester og Svarrapportering av medisinske tjenester slik at standardene skal blir håndtert på en korrekt måte ved sending og mottak. Dokumentet angir lovlig bruk av berørte kodeverk og bruk av id-er ved endringer, kanselleringer, tillegg eller historikk.",,"Anbefalt standard","Organisatorisk, Semantisk","Eksisterer","Pasientens prøvesvar","Helsedirektoratet","HIS","Bruk av standardene Rekvirering av medisinske tjenester og Svarrapportering av medisinske tjenester","https://www.helsedirektoratet.no/standarder/bruk-av-standardene-rekvirering-av-medisinske-tjenester-og-svarrapportering-av-medisinske-tjenester"
"Krav og prinsipper ","Bruk av laboratoriekodeverk i rekvirering og svarrapportering av medisinske tjenester",,"Dokumentet beskriver hvordan laboratoriekodeverk skal benyttes i meldingsstandardene Svarrapportering av medisinske tjenester og Rekvirering av medisinske tjenester. Dokumentet viser hvordan NLK skal benyttes i XML-meldingene, samt hvordan de ulike XML-elementene benyttes for å angi informasjon om prøvemateriale, anatomisk lokalisasjon, metode og enhet.
",,"Anbefalt standard","Organisatorisk, Semantisk","Eksisterer","Pasientens prøvesvar","Helsedirektoratet","HITS","Bruk av laboratoriekodeverk i rekvirering og svarrapportering av medisinske tjenester","https://www.helsedirektoratet.no/standarder/bruk-av-laboratoriekodeverk-i-rekvirering-og-svarrapportering-av-medisinske-tjenester"
"Kodeverk og terminologi ","Anatomical Therapeutic Chemical (ATC)",,"Kodeverket angir koder for en internasjonal klassifisering av legemidler i klassifikasjonssystemet Anatomical Therapeutic Chemical (ATC) Classification System",,"Obligatorisk standard","Semantisk","Eksisterer","Pasientens kritiske informasjon, Pasientens legemiddelliste","Helsedirektoratet",,"ATC (OID=7180) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7180"
"Teknisk grensesnitt ","Teknisk dokumentasjon for svarrapportering av medisinske tjenester 1.4",,"Teknisk dokumentasjon for svarrapporter, som blant annet inneholder kravdokumenter, XML skjema, XML meldingsbeskrivelser og eksempelfiler.",,,"Teknisk","Eksisterer","Pasientens prøvesvar","Helsedirektoratet",,"Teknisk dokumentasjon for svarrapportering av medisinske tjenester 1.4","https://sarepta.helsedir.no/standard/Svarrapportering%20av%20medisinske%20tjenester/1.4"
"Klinisk fagsystem ","Klinisk fagsystem",,"Elektronisk system som ivaretar særskilte funksjoner innen klinisk behandling. Eksempelvis fagsystemkategorier som LIMS (laboratoriestøtte), RAD (radiologistøtte) og Føde (fødselsklinikk) og ulike EPJ-systemer.",,,"Teknisk","Eksisterer","Pasientens journaldokumenter","Den enkelte aktør",,"Målarkitektur for dokumentdeling","https://www.helsedirektoratet.no/faglige-rad/malarkitektur-for-dokumentdeling/malarkitektur-for-dokumentdeling.pdf/_/attachment/inline/189c3c04-6baa-4007-90a5-fb49312d9e1e:e327395240bcaadedde5a2daff935836ccb888b8/Målarkitektur%20for%20dokumentdeling.pdf"
"Krav og prinsipper ","Bli klar for pasientens legemiddelliste",,"Anbefalinger om teknisk tilrettelegging, tilpassing av arbeidsprosesser og opplæring for innføring av pasientens legemiddelliste.",,,"Organisatorisk, Teknisk","Eksisterer","Pasientens legemiddelliste","Helsedirektoratet",,"Bli klar for pasientens legemiddelliste","https://www.helsedirektoratet.no/digitalisering-og-e-helse/pasientens-legemiddelliste/bli-klar-for-pasientens-legemiddelliste"
"Krav og prinsipper ","Logging og etterkontroll",,"Dokumentet beskriver prinsipper for logging, loggkontroll og loggoppfølging.",,,"Organisatorisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet",,"Logg, logging og loggkontroll (nhn.no)","https://www.nhn.no/tjenester/pasientens-journaldokumenter/deling-av-journaldokumenter-gjennom-kjernejournal/Logg,%20loggkontroll%20og%20loggoppf%C3%B8lging.pdf"
