informasjonstype,navn,ingress,beskrivelse,kontekstavhengig_beskrivelse,normeringsniva,eif_niva,status,samhandlingstjenester,ansvarlig,dokumenttype,referanse_lenketekst,referanse_url
"Veileder ","Veileder i digital pasientkommunikasjon",,"Veilederen gir informasjon til etterlevelse av kravene om tekniske og administrative tiltak ved etablering av løsninger for pasientkommunikasjon.",,,"Organisatorisk","Eksisterer","Pasientens journaldokumenter, Pasientens måledata, Digitalt helsekort for gravide","Normen",,"Veileder i digital pasientkommunikasjon","https://www.helsedirektoratet.no/normen/digital-pasientkommunikasjon"
"Veileder ","Veileder om risikostyring i informasjonssikkerhet og personvern",,"Denne veilederen skal gi veiledning til, og bidra til etterlevelse av, kravene i Normen knyttet til risikostyring.",,,,"Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste, Pasientens måledata, Digitalt helsekort for gravide","Normen",,"Veileder om risikostyring i informasjonssikkerhet og personvern","https://www.helsedirektoratet.no/normen/risikostyring-for-informasjonssikkerhet-og-personvern"
"Veileder ","Veileder for rettigheter ved behandling av helse og personopplysninger",,"Gir virksomheter i helse- og omsorgstjenesten veiledning i hvordan de registrertes rettigheter kan ivaretas herunder pasienters rettigheter som registrerte.",,,,"Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste, Pasientens måledata, Digitalt helsekort for gravide","Normen",,"Veileder for rettigheter ved behandling av helse og personopplysninger","https://www.helsedirektoratet.no/normen/rettigheter-ved-behandling-av-helse-og-personopplysninger#10.2.3%20Behandling%20av%20helseopplysninger%20i%20Nasjonal%20kjernejournal"
"Veileder ","Veileder for tilgang til helse- og personopplysninger",,"Gir veiledning til og bidrar til etterlevelse av kravene Normen stiller til etablering av tilfredsstillende tilgangsstyring innad i virksomheten.",,,"Organisatorisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste, Pasientens måledata, Digitalt helsekort for gravide","Normen",,"Veileder for tilgang til helse- og personopplysninger","https://www.helsedirektoratet.no/normen/tilgang-til-helse-og-personopplysninger"
"Informasjonsmodell ","Overordnet informasjonsmodell for digitalt helsekort for gravide",,"Standarden beskriver informasjonen som bør være tilgjengelig for at relevante aktører skal kunne samhandle om en kvinne i et svangerskap. Standarden er anbefalt til utprøving og det kan komme endringer. ",,"Anbefalt standard til utprøving","Semantisk","Eksisterer","Digitalt helsekort for gravide","Helsedirektoratet","HIS","Overordnet informasjonsmodell for digitalt helsekort for gravide","https://www.helsedirektoratet.no/standarder/overordnet-informasjonsmodell-for-digitalt-helsekort-for-gravide"
"Kodeverk og terminologi ","Absoluttlisten - oversikt over kritiske medisinske tilstander",,"Liste over diagnoser/tilstander som bør registreres som «Kritisk medisinsk tilstand» i kjernejournal. Dette er en dynamisk liste som oppdateres og tilpasses kontinuerlig etter faktiske kliniske behov i tråd med gjeldende kunnskap og praksis.",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","Helsedirektoratet",,"Absoluttlisten (PDF) (nhn.no)","https://www.nhn.no/tjenester/kjernejournal/Brukerveiledninger/Absoluttliste%20-%20nettversjon%200721.pdf"
"Informasjonsmodell ","Nasjonal informasjonsmodell for oppsummerende pasientopplysninger",,"Helsedirektoratet har utviklet en informasjonsmodell som beskriver overordnet struktur og innhold for ulike typer helseinformasjon, uavhengig av formål og teknisk løsning.",,,"Semantisk","Under utvikling","Pasientens kritiske informasjon","Helsedirektoratet",,"Nasjonal informasjonsmodell for oppsummerende pasientopplysninger","https://www.helsedirektoratet.no/veiledere/helse-nim-for-oppsummerende-helseopplysninger"
"Informasjonsmodell ","Norske basisprofiler for HL7 FHIR",,"Basisprofilene definerer tilpasninger av HL7 FHIR-ressurser for bruk i Norge. Profilene brukes for løsninger for datadeling. ",,"Anbefalt standard","Semantisk","Eksisterer","Digitalt helsekort for gravide","HL7 Norge",,"Norske basisprofiler for HL7 FHIR","https://www.helsedirektoratet.no/standarder/norske-basisprofiler-for-hl7-fhir"
"Krav og prinsipper ","Anbefaling av tillitsmodell for data- og dokumentdeling",,"Rapporten fokuserer på tilgangsstyring i data- og dokumentdeling på tvers av virksomheter og personell. Den anbefaler en tillitsmodell og overordnede prinsipper som skal gjelde for tilgangsstyring på tvers av virksomheter. Anbefalingen inkluderer også videre steg for å realisere tillitsmodellen.",,,"Organisatorisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste, Pasientens måledata, Digitalt helsekort for gravide","Helsedirektoratet","HITR","Anbefaling av tillitsmodell for data- og dokumentdeling","https://www.helsedirektoratet.no/rapporter/anbefaling-av-tillitsmodell-for-data-og-dokumentdeling/anbefaling-av-tillitsmodell-for-data-og-dokumentdeling.pdf/_/attachment/inline/1691ec4d-7332-4121-84b4-d8096727a9db:b1a5bb9014e31fd609fc3bd3e5e38ee28d5e207a/Anbefaling%20av%20tillitsmodell%20for%20data-%20og%20dokumentdeling.pdf"
"Veileder ","Sikre helseopplysningenes integritet og datakvalitet for trygg og forsvarlig pasientbehandling",,"Veilederen skal gi støtte i å identifisere og vurdere uønskede hendelser som kan føre til fare for pasientsikkerheten på grunn av brudd på informasjonens integritet, eller fordi egenskaper ved informasjonssystemene fører til bruk av opplysninger med for dårlig kvalitet.",,,"Organisatorisk, Semantisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste, Pasientens måledata, Digitalt helsekort for gravide","Helsedirektoratet",,"Sikre helseopplysningenes integritet og datakvalitet for trygg og forsvarlig pasientbehandling","https://www.helsedirektoratet.no/normen/sikre-helseopplysningenes-integritet-og-datakvalitet-for-trygg-og-forsvarlig-pasientbehandling/om-veilederen"
